Structure,Abbreviation,Hemisphere,Level_1,Level_2,Level_3,Level_4,Subdivisions_7,,,
Cingulate_Cortex_Area_24a,A24a,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,1,1
Cingulate_Cortex_Area_24a_prime,A24aPrime,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,2,2
Cingulate_Cortex_Area_24b,A24b,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,3,3
Cingulate_Cortex_Area_24b_prime,A24bPrime,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,4,4
Cingulate_Cortex_Area_29a,A29a,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,5,5
Cingulate_Cortex_Area_29b,A29b,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,6,6
Cingulate_Cortex_Area_29c,A29c,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,7,7
Cingulate_Cortex_Area_30,A30,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,8,8
Cingulate_Cortex_Area_32,A32,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,9,9
Primary_Auditory_Cortex,Au1,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,6_medial_pallium,1_isocortex,,10,10
Secondary_Auditory_Cortex_Dorsal_Part,AuD,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,,11,11
Secondary_Auditory_Cortex_Ventral_Part,AuV,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,,12,12
Dorsolateral_Orbital_Cortex,DLO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,13,13
Frontal_Cortex_Area_3,Fr3,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,14,14
Frontal_Association_Cortex,FrA,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,15,15
Insular_Cortex,Ins,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,1_isocortex,,16,16
Lateral_Orbital_Cortex,LO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,17,17
Lateral_Parietal_Association_Cortex,LPtA,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,,18,18
