Obs Name Species Area Latitude
1 Albert  46  5346.0  1.70
2 Bangweulu 68  2072.0  11.10 
3 Chad 93  17500.0  13.00
4 Chilwa 13  673.0  15.30 
5 Edward 53  2150.0  0.50 
6 Kivu 17  2370.0  2.00 
7 Malawi 245  28490.0  12.00 
8 Mweru 88  4413.0  9.00 
9 abugabo 24  28.5  0.60 
10 Rudolf 37  9065.0  3.50
11 Rukwa 22  3302.0  8.00 
12 Tana 18  3626.0  12.00
13 Tanganyika 214  32893.0  6.00 
14 Victoria 177  69484.0  1.00 
15 Athabasca 21  7154.0  59.20
16 BigTrout  24  616.0  53.80
17 Great.Bear 12  31153.0  66.00
18 Great.Slave 26  27195.0  61.40
19 Keller 13  406.0  64.00
20 Kootenay 19  399.0  49.50
21 La.Ronge 19  1425.0  55.00
22 Opeongo 22  60.0  45.70
23 Loch.Lomond 15  71.0  56.10
24 Windermere 9  15.0  54.30
25 Peten 23  98.0  17.00
26 Yzabal 48  684.0  15.50
27 Maggiore 21  212.0  46.00
28 Biwa 46  676.0  35.20
29 Chapala 14  1080.0  20.20
30 Patzcuaro 7 111.0 19.60
31 Zirahuen 5  8.0  19.40
32 icaragua 40  8264.0  11.50
33 Titicaca 18  9065.0  16.00 
34 Lanao 20  357.0  7.90
35 Aral.Sea 17  64500.0  45.00
36 Baikal 50  31500.0  54.00
37 Balkhash 5  18500.0  46.00
38 Beloe   22  1125.0  60.20
39 Black.Sea 156  423488.0  43.00
40 Caspian.Sea 74  436000.0  42.00
41 Gusinoe 13  165.0  51.20
42 Issyk.Kul 11  6206.0  42.00
43 Ladoga  48  18400.0  61.00
44 Leprindo 14  24.0  56.50
45 Onega  28  10340.0  61.50
46 Pestovo 17  2.0  58.30
47 Sea.of.Azov 17  38000.0  46.00
48 Seliger 21  221.0  57.20
49 Taimyr 13  4650.0  74.50
50 Teletskoe 14  231.0  51.60
51 Black  10  5.2  34.70
52 Canandaigua 37  41.0  42.80
53 Cayuga 60  171.0  42.70
54 Erie 113  25719.0  42.20
55 Huron 99  59596.0  44.50
56 Jones  13  0.8  34.70
57 Keuka  30  44.0  42.50
58 Michigan 114  58016.0  44.00
59 Ontario 112  19477.0  43.50
60 Otisco 17  10.0  42.80
61 Owasco 10  85.0  42.80
62 Salters 14  1.3  34.70
63 Seneca 39 174.0 42.60
64 Singletary  14  2.6  34.60
65 Skaneateles 14  54.0  42.80
66 Superior 67  82414.0  47.50
67 Waccamaw 36  36.0  34.30
68 Walnut   30  0.8  42.60
69 White  19  5.2  34.60
70 Ohrid 17  347.0  41.00 
